sample_id,subject_id,subject_group,webcam_video_path,wearcam_video_path,audio_path,start_code,end_code,start_seconds,end_seconds,duration_seconds,cheat_type_id,cheat_type_name,reference_usage,notes
subject1_001,subject1,acting_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef1.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef2.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef.wav,0135,0204,95,124,29,1,type_1,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject1_002,subject1,acting_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef1.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef2.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef.wav,0205,0220,125,140,15,1,type_1,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject1_003,subject1,acting_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef1.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef2.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef.wav,0221,0223,141,143,2,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject1_004,subject1,acting_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef1.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef2.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef.wav,0226,0227,146,147,1,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject1_005,subject1,acting_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef1.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef2.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef.wav,0228,0229,148,149,1,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject1_006,subject1,acting_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef1.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef2.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef.wav,0230,0336,150,216,66,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject1_007,subject1,acting_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef1.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef2.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef.wav,0237,0244,157,164,7,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject1_008,subject1,acting_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef1.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef2.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef.wav,0252,0302,172,182,10,2,type_2,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject1_009,subject1,acting_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef1.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef2.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef.wav,0505,0508,305,308,3,5,type_5,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
subject1_010,subject1,acting_subject,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef1.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef2.avi,C:\Users\huydao\.cache\kagglehub\datasets\raajanwankhade\oep-dataset\versions\1\OEP database\subject1\Yousef.wav,0509,0517,309,317,8,5,type_5,webcam_only_reference,Use for reference or relabeling; final model still needs one-camera fine-tune data.
